Bedrooms,Bathrooms,Balconies,Pujaz_Rooms,Super_area,Carpet_area,Floor_Number,Total_Floors,Furnished_status,Facing,Address,Price
3,2,2,1,1450,1350,2,5,Unfurnished,East,Dilsukh Nagar,68
2,2,0,0,1270,1170,1,3,Furnished,West,Dr A.S. Rao Nagar,50
2,2,0,0,1135,900,2,5,Unfurnished,East,Dullapally,40
2,2,0,0,1300,1300,5,5,Unfurnished,North - West,Dullapally,44.9
2,2,0,1,1300,1200,4,4,Unfurnished,North,Dullapally,48.1
2,2,0,0,1060,950,2,4,Semi-Furnished,South,East Marredpally,65
2,2,0,0,1150,1100,4,4,Semi-Furnished,East,East Marredpally,60
2,2,2,1,1000,800,5,5,Semi-Furnished,North - East,East Marredpally,72
2,2,2,1,1150,1150,0,0,Unfurnished,North,East Marredpally,72.5
2,2,0,0,1080,1040,1,4,Semi-Furnished,West,ECIL,42
2,2,0,1,1090,990,4,5,Furnished,East,ECIL,38
2,2,2,0,1280,1280,4,4,Unfurnished,East,ECIL,50
2,2,2,0,1050,950,2,3,Semi-Furnished,South,Erragadda,50
2,2,2,1,1300,1200,3,4,Unfurnished,West,Erragadda,76
2,2,0,0,850,800,23,24,Semi-Furnished,North,Financial District,72
3,2,0,0,1600,1500,2,4,Unfurnished,East,Financial District,75
3,2,0,0,1600,1500,2,4,Unfurnished,East,Financial District,75
3,2,0,0,1600,1500,2,4,Unfurnished,East,Financial District,75
3,2,0,0,1600,1500,2,4,Unfurnished,East,Financial District,75
3,3,2,1,1365,1365,3,4,Unfurnished,East,Friends Colony,75
2,2,2,0,880,880,4,6,Furnished,West,G139 MADHURA NAGAR,52
2,2,0,0,1053,1053,11,13,Unfurnished,East,Gachibowli,68.5
2,2,0,0,1120,1120,0,0,Unfurnished,East,Gachibowli,67.2
2,2,0,0,1120,1120,12,20,Unfurnished,East,Gachibowli,67.2
2,2,0,0,850,850,7,24,Unfurnished,East,Gachibowli,80
2,2,0,1,1160,950,2,4,Semi-Furnished,West,Gachibowli,55
2,2,2,1,1245,1245,2,31,Unfurnished,North,Gachibowli,74.7
3,2,0,0,1250,1250,2,5,Unfurnished,East,Gachibowli,70
3,2,0,0,1120,1120,16,20,Unfurnished,North,Gachibowli,78
3,2,0,0,1198,1198,22,24,Unfurnished,North - West,Gachibowli,80
3,2,0,0,1600,1500,3,4,Unfurnished,East,Gachibowli,75
3,2,0,0,1600,1500,3,4,Unfurnished,East,Gachibowli,75
3,2,0,1,1600,1500,3,4,Unfurnished,East,Gachibowli,75
2,2,0,0,1100,850,4,4,Unfurnished,West,Gachibowli CUC,72
2,2,0,0,1200,835,13,18,Unfurnished,West,Gachibowli CUC,68
2,2,2,1,1350,1250,3,5,Unfurnished,West,Gachibowli CUC,80
3,2,0,0,1344,1021,15,30,Semi-Furnished,West,Gachibowli Phase 3,73.9
3,3,3,1,1402,1100,20,30,Semi-Furnished,East,Gachibowli Phase 3,75
2,2,0,0,1000,900,6,10,Semi-Furnished,East,Gajularamaram,37
2,2,0,0,1125,1100,5,5,Unfurnished,West,Gajularamaram,46
2,2,0,0,1170,1050,2,5,Unfurnished,West,Gajularamaram,41
2,2,0,0,1250,1080,1,5,Unfurnished,East,Gajularamaram,50
2,2,0,0,1250,1080,5,5,Unfurnished,East,Gajularamaram,49
2,2,0,0,1400,1330,2,5,Unfurnished,East,Gajularamaram,54
2,2,2,0,1000,775,3,5,Unfurnished,East,Gajularamaram,43
2,2,2,0,1050,840,3,5,Unfurnished,East,Gajularamaram,43
2,2,2,0,1100,1000,2,5,Unfurnished,East,Gajularamaram,41.8
2,2,2,0,1106,1106,3,5,Unfurnished,East,Gajularamaram,38.7
2,2,2,0,1115,1015,4,5,Unfurnished,North,Gajularamaram,48
2,2,2,0,1220,1220,3,5,Unfurnished,East,Gajularamaram,42.7
2,2,2,0,1250,1250,5,5,Unfurnished,East,Gajularamaram,50
