Bedrooms,Bathrooms,Balconies,Pujaz_Rooms,Super_area,Carpet_area,Furnished_status,Facing,Address,Price
2,2,0,0,1250,1050,Unfurnished,East,Beeramguda,68
2,3,2,1,1250,1350,Semi-Furnished,East,Beeramguda,65
2,2,0,1,1250,1250,Semi-Furnished,North - West,Beeramguda,65
2,2,0,1,1250,1250,Semi-Furnished,East,Beeramguda,62
2,2,0,1,1250,1250,Semi-Furnished,East,Beeramguda,62
2,2,0,1,1250,1250,Semi-Furnished,North,Beeramguda,63
2,2,0,1,1250,1250,Semi-Furnished,North - West,Beeramguda,65
2,2,0,1,1250,1150,Unfurnished,West,Beeramguda,68
2,3,0,1,1250,1250,Semi-Furnished,East,Beeramguda,65
2,3,0,1,1250,150,Unfurnished,East,Beeramguda,65
2,2,0,1,1250,1250,Unfurnished,West,Adibatla,59
2,2,0,0,1125,100,Unfurnished,West,Kismatpur,69.5
2,2,2,0,1240,900,Unfurnished,North - East,Munganoor,42
2,2,0,1,1240,1200,Unfurnished,East,Beerappagadda,66
2,3,2,1,1230,900,Unfurnished,East,GurramGuda,52
2,2,0,1,1230,1100,Unfurnished,East,Beeramguda,59
2,2,0,0,1107,1116,Unfurnished,West,Boduppal,60
2,2,0,0,1225,919,Unfurnished,West,Gopanapalli,69.8
2,2,0,0,1224,1224,Unfurnished,East,MedchalRoad,54
2,2,0,1,1213,1113,Unfurnished,West,RamachandraPuram,56.8
2,2,0,1,1213,1113,Unfurnished,West,Beeramguda,56.8
2,2,0,1,1212,1112,Unfurnished,North,RamachandraPuram,56.7
2,2,0,1,1212,1112,Unfurnished,North,RamachandraPuram,56.7
2,2,0,1,1212,1112,Unfurnished,North,RamachandraPuram,56.7
2,2,0,1,1212,1112,Unfurnished,North,RamachandraPuram,56.7
2,2,0,1,1212,1112,Unfurnished,North,RamachandraPuram,56.7
2,2,0,1,1212,1112,Unfurnished,North,RamachandraPuram,56.7
2,2,0,1,1212,1112,Unfurnished,North,RamachandraPuram,56.7
2,2,0,1,1212,1112,Unfurnished,North,RamachandraPuram,56.7
2,2,0,1,1212,1112,Unfurnished,North,RamachandraPuram,56.7
2,2,0,1,1212,1112,Unfurnished,North,RamachandraPuram,56.7
2,2,0,1,1212,1112,Unfurnished,North,RamachandraPuram,56.7
2,2,0,1,1212,1112,Unfurnished,North,RamachandraPuram,56.7
2,2,0,1,1212,1112,Unfurnished,North,RamachandraPuram,56.7
2,2,0,1,1212,1112,Unfurnished,North,RamachandraPuram,56.7
2,2,0,1,1212,1112,Unfurnished,North,RamachandraPuram,56.7
2,2,0,1,1212,1112,Unfurnished,North,RamachandraPuram,56.7
2,2,0,1,1212,1112,Unfurnished,North,RamachandraPuram,56.7
2,2,0,1,1212,1112,Unfurnished,North,RamachandraPuram,56.7
2,2,0,1,1212,1112,Unfurnished,North,RamachandraPuram,56.7
2,2,0,1,1212,1112,Unfurnished,North,Beeramguda,56.7
2,2,0,1,1212,1112,Unfurnished,North,Beeramguda,56.7
2,2,0,1,1212,1112,Unfurnished,North,Beeramguda,56.7
2,2,0,1,1212,1112,Unfurnished,North,Beeramguda,56.7
2,2,0,1,1212,1112,Unfurnished,North,Beeramguda,56.7
2,2,0,1,1212,1112,Unfurnished,North,Beeramguda,56.7
2,2,0,1,1212,1112,Unfurnished,North,Beeramguda,56.7
2,2,0,0,1210,1209,Unfurnished,None,Isnapur,34
2,3,2,1,1210,1210,Unfurnished,None,Nandanpride,63
2,2,0,1,1210,1210,Unfurnished,East,Beeramguda,63.5
2,2,0,0,1089,1089,Unfurnished,None,Balapur,40
2,2,0,0,1206,1100,Unfurnished,South - East,Ahmadguda,48
2,2,0,0,1200,150,Semi-Furnished,East,Medchal,45
2,3,0,0,1200,1000,Unfurnished,East,Turkayamjal,55
2,2,0,0,1200,1200,Unfurnished,North,SrisailamHighway,60
2,2,0,1,1200,1000,Semi-Furnished,East,Sangareddy,42
2,2,2,1,1200,1050,Semi-Furnished,East,RampallyVillage,53
2,2,0,0,1200,1050,Semi-Furnished,None,RampallyVillage,53
2,2,0,1,1200,850,Unfurnished,West,Peerzadiguda,67
2,2,0,1,1200,1000,Unfurnished,East,Patelguda,65
